nmmunicipiocredor,nmfuncao,vlempenhado,vlliquidado,vlpagoorcamentario,valor_total
ABDON BATISTA,Agricultura,0.0,500000.0,500000.0,1000000.0
ABDON BATISTA,Educação,0.0,83724.0,49411.0,133135.0
ABDON BATISTA,Saúde,0.0,0.0,0.0,0.0
ABELARDO LUZ,Agricultura,0.0,300000.0,300000.0,600000.0
ABELARDO LUZ,Educação,0.0,3821146.0,3821146.0,7642292.0
ABELARDO LUZ,Saúde,-300000.0,26689.0,36387.0,-236924.0
ABELARDO LUZ,Transporte,0.0,200000.0,200000.0,400000.0
AGROLANDIA,Educação,0.0,4180000.0,4180000.0,8360000.0
AGROLANDIA,Saúde,0.0,128148.0,132222.0,260370.0
AGROLANDIA,Transporte,0.0,450000.0,450000.0,900000.0
AGRONOMICA,Agricultura,0.0,100000.0,100000.0,200000.0
AGRONOMICA,Educação,0.0,2270000.0,2270000.0,4540000.0
AGRONOMICA,Saúde,0.0,4086.0,6129.0,10215.0
AGRONOMICA,Transporte,-350000.0,350000.0,350000.0,350000.0
AGUA DOCE,Agricultura,0.0,119000.0,119000.0,238000.0
AGUA DOCE,Educação,0.0,0.0,0.0,0.0
AGUA DOCE,Saúde,0.0,0.0,0.0,0.0
AGUAS DE CHAPECO,Agricultura,-100000.0,100000.0,100000.0,100000.0
AGUAS DE CHAPECO,Educação,0.0,100000.0,100000.0,200000.0
AGUAS DE CHAPECO,Saúde,0.0,0.0,0.0,0.0
AGUAS DE CHAPECO,Transporte,0.0,200000.0,200000.0,400000.0
AGUAS FRIAS,Agricultura,0.0,250000.0,250000.0,500000.0
AGUAS FRIAS,Educação,0.0,0.0,0.0,0.0
AGUAS FRIAS,Saúde,0.0,0.0,0.0,0.0
AGUAS MORNAS,Educação,0.0,460.0,460.0,920.0
AGUAS MORNAS,Saúde,0.0,0.0,0.0,0.0
AGUAS MORNAS,Transporte,0.0,250000.0,250000.0,500000.0
ALFREDO WAGNER,Agricultura,0.0,250000.0,250000.0,500000.0
ALFREDO WAGNER,Educação,0.0,55434.0,55434.0,110868.0
ALFREDO WAGNER,Saúde,0.0,150000.0,150000.0,300000.0
ALTO BELA VISTA,Educação,0.0,0.0,0.0,0.0
ALTO BELA VISTA,Saúde,0.0,0.0,0.0,0.0
ANCHIETA,Educação,0.0,103500.0,103500.0,207000.0
ANCHIETA,Saúde,0.0,0.0,0.0,0.0
ANGELINA,Educação,0.0,509300.0,509300.0,1018600.0
ANGELINA,Saúde,0.0,250000.0,250000.0,500000.0
ANGELINA,Transporte,0.0,550000.0,550000.0,1100000.0
ANITA GARIBALDI,Educação,0.0,0.0,0.0,0.0
ANITA GARIBALDI,Saúde,0.0,400000.0,400000.0,800000.0
ANITAPOLIS,Agricultura,0.0,150000.0,150000.0,300000.0
ANITAPOLIS,Educação,0.0,99919.0,99919.0,199838.0
ANITAPOLIS,Saúde,0.0,0.0,0.0,0.0
ANITAPOLIS,Transporte,0.0,127670.0,127670.0,255340.0
ANTONIO CARLOS,Desporto e Lazer,0.0,150000.0,150000.0,300000.0
ANTONIO CARLOS,Educação,-250000.0,856912.0,790209.0,1397121.0
ANTONIO CARLOS,Saúde,0.0,0.0,0.0,0.0
ANTONIO CARLOS,Transporte,0.0,750000.0,750000.0,1500000.0
APIUNA,Educação,0.0,0.0,0.0,0.0
APIUNA,Saúde,0.0,0.0,0.0,0.0
ARABUTA,Agricultura,0.0,300000.0,300000.0,600000.0
ARABUTA,Educação,0.0,250.0,250.0,500.0
ARABUTA,Saúde,0.0,100000.0,100000.0,200000.0
ARAQUARI,Educação,0.0,0.0,0.0,0.0
ARAQUARI,Saúde,0.0,0.0,0.0,0.0
ARARANGUA,Educação,0.0,575.0,575.0,1150.0
ARARANGUA,Saúde,0.0,968250.0,4072375.0,5040625.0
ARARANGUA,Transporte,0.0,1803000.0,1803000.0,3606000.0
