NM_MUN,CD_MUN,TOT_POP,ABS_POP_BRANCA,ABS_POP_PRETA,ABS_POP_AMARELA,ABS_POP_PARDA,ABS_POP_INDIGENA,IGNORADOS,PERC_BRANCA,PERC_PRETA,PERC_AMARELA,PERC_PARDA,PERC_INDIGENA,ABS_INDIGENA_COR_RACA,PERC_INDIGENA_COR_RACA
Alta Floresta D'Oeste,  1 100 015 ,   21 494,   7 590,   1 297,46,   11 845,715,1,"35,3","6,0","0,2","55,1","3,3",    749 ,"3,5"
Ariquemes,  1 100 023 ,   96 833,   31 263,   9 619,317,   55 534,97,3,"32,3","9,9","0,3","57,4","0,1",    98 ,"0,1"
Cabixi,  1 100 031 ,   5 351,   2 136,345,12,   2 856,2,0,"39,9","6,4","0,2","53,4","0,0",    10 ,"0,2"
Cacoal,  1 100 049 ,   86 887,   32 304,   6 704,365,   45 836,   1 675,3,"37,2","7,7","0,4","52,8","1,9",   1 688 ,"1,9"
Cerejeiras,  1 100 056 ,   15 890,   6 213,   1 025,59,   8 580,13,0,"39,1","6,5","0,4","54,0","0,1",    23 ,"0,1"
Colorado do Oeste,  1 100 064 ,   15 663,   5 577,   1 199,40,   8 835,12,0,"35,6","7,7","0,3","56,4","0,1",    13 ,"0,1"
Corumbiara,  1 100 072 ,   7 519,   2 221,634,8,   4 636,20,0,"29,5","8,4","0,1","61,7","0,3",    87 ,"1,2"
Costa Marques,  1 100 080 ,   12 627,   3 221,   1 272,13,   7 710,410,1,"25,5","10,1","0,1","61,1","3,2",   1 217 ,"9,6"
Espigão D'Oeste,  1 100 098 ,   29 414,   11 918,   1 995,41,   14 817,643,0,"40,5","6,8","0,1","50,4","2,2",    722 ,"2,5"
Guajará-Mirim,  1 100 106 ,   39 387,   6 758,   3 391,111,   23 781,   5 346,0,"17,2","8,6","0,3","60,4","13,6",   5 473 ,"13,9"
Jaru,  1 100 114 ,   50 591,   15 665,   4 835,73,   29 949,67,2,"31,0","9,6","0,1","59,2","0,1",    67 ,"0,1"
Ji-Paraná,  1 100 122 ,   124 333,   40 561,   10 928,336,   70 947,   1 561,0,"32,6","8,8","0,3","57,1","1,3",   1 573 ,"1,3"
Machadinho D'Oeste,  1 100 130 ,   30 707,   8 174,   2 962,37,   19 495,39,0,"26,6","9,6","0,1","63,5","0,1",    41 ,"0,1"
Nova Brasilândia D'Oeste,  1 100 148 ,   15 679,   5 492,   1 268,52,   8 854,13,0,"35,0","8,1","0,3","56,5","0,1",    13 ,"0,1"
Ouro Preto do Oeste,  1 100 155 ,   35 044,   11 572,   2 983,123,   20 322,44,0,"33,0","8,5","0,4","58,0","0,1",    44 ,"0,1"
Pimenta Bueno,  1 100 189 ,   35 079,   11 876,   2 588,134,   19 941,539,1,"33,9","7,4","0,4","56,8","1,5",    546 ,"1,6"
Porto Velho,  1 100 205 ,   460 434,   120 941,   43 467,   1 287,   292 098,   2 628,13,"26,3","9,4","0,3","63,4","0,6",   4 112 ,"0,9"
Presidente Médici,  1 100 254 ,   19 327,   6 760,   1 180,46,   11 334,7,0,"35,0","6,1","0,2","58,6","0,0",    7 ,"0,0"
Rio Crespo,  1 100 262 ,   3 471,   1 083,315,14,   2 050,9,0,"31,2","9,1","0,4","59,1","0,3",    11 ,"0,3"
Rolim de Moura,  1 100 288 ,   56 406,   20 003,   4 213,140,   31 949,97,4,"35,5","7,5","0,2","56,6","0,2",    98 ,"0,2"
Santa Luzia D'Oeste,  1 100 296 ,   7 419,   2 468,656,35,   4 258,2,0,"33,3","8,8","0,5","57,4","0,0",    2 ,"0,0"
Vilhena,  1 100 304 ,   95 832,   37 752,   6 946,256,   50 286,589,3,"39,4","7,2","0,3","52,5","0,6",   1 225 ,"1,3"
São Miguel do Guaporé,  1 100 320 ,   21 635,   7 385,   1 992,74,   12 047,136,1,"34,1","9,2","0,3","55,7","0,6",    237 ,"1,1"
Nova Mamoré,  1 100 338 ,   25 444,   6 319,   1 966,52,   16 068,   1 038,1,"24,8","7,7","0,2","63,2","4,1",   1 067 ,"4,2"
Alvorada D'Oeste,  1 100 346 ,   13 117,   4 437,   1 239,16,   7 416,9,0,"33,8","9,4","0,1","56,5","0,1",    9 ,"0,1"
Alto Alegre dos Parecis,  1 100 379 ,   11 479,   3 543,906,6,   6 921,103,0,"30,9","7,9","0,1","60,3","0,9",    109 ,"0,9"
Alto Paraíso,  1 100 403 ,   16 320,   4 910,   1 289,6,   10 104,10,1,"30,1","7,9","0,0","61,9","0,1",    10 ,"0,1"
Buritis,  1 100 452 ,   27 992,   8 490,   2 169,126,   17 160,47,0,"30,3","7,7","0,5","61,3","0,2",    47 ,"0,2"
Novo Horizonte do Oeste,  1 100 502 ,   7 667,   2 683,506,9,   4 467,2,0,"35,0","6,6","0,1","58,3","0,0",    2 ,"0,0"
Cacaulândia,  1 100 601 ,   4 150,   1 245,498,7,   2 396,4,0,"30,0","12,0","0,2","57,7","0,1",    4 ,"0,1"
Campo Novo de Rondônia,  1 100 700 ,   8 844,   2 440,724,14,   5 663,3,0,"27,6","8,2","0,2","64,0","0,0",    3 ,"0,0"
Candeias do Jamari,  1 100 809 ,   22 310,   5 075,   2 003,99,   14 993,138,2,"22,7","9,0","0,4","67,2","0,6",    139 ,"0,6"
Castanheiras,  1 100 908 ,   3 233,   1 103,232,2,   1 888,8,0,"34,1","7,2","0,1","58,4","0,2",    8 ,"0,2"
Chupinguaia,  1 100 924 ,   9 324,   2 738,   1 004,2,   5 267,313,0,"29,4","10,8","0,0","56,5","3,4",    319 ,"3,4"
Cujubim,  1 100 940 ,   14 863,   3 962,   1 590,64,   9 210,37,0,"26,7","10,7","0,4","62,0","0,2",    37 ,"0,2"
Governador Jorge Teixeira,  1 101 005 ,   8 001,   2 172,783,11,   4 958,77,0,"27,1","9,8","0,1","62,0","1,0",    92 ,"1,1"
Itapuã do Oeste,  1 101 104 ,   8 548,   1 953,730,9,   5 841,15,0,"22,8","8,5","0,1","68,3","0,2",    15 ,"0,2"
Ministro Andreazza,  1 101 203 ,   6 466,   2 415,463,3,   3 582,3,0,"37,3","7,2","0,0","55,4","0,0",    3 ,"0,0"
Mirante da Serra,  1 101 302 ,   9 235,   2 977,758,21,   5 337,141,1,"32,2","8,2","0,2","57,8","1,5",    152 ,"1,6"
Monte Negro,  1 101 401 ,   11 548,   3 578,   1 078,24,   6 844,24,0,"31,0","9,3","0,2","59,3","0,2",    24 ,"0,2"
Nova União,  1 101 435 ,   6 200,   1 837,622,8,   3 724,9,0,"29,6","10,0","0,1","60,1","0,1",    9 ,"0,1"
Parecis,  1 101 450 ,   4 125,   1 233,386,7,   2 424,75,0,"29,9","9,4","0,2","58,8","1,8",    78 ,"1,9"
Pimenteiras do Oeste,  1 101 468 ,   2 156,602,401,11,   1 128,14,0,"27,9","18,6","0,5","52,3","0,6",    170 ,"7,9"
Primavera de Rondônia,  1 101 476 ,   3 076,   1 199,212,6,   1 658,1,0,"39,0","6,9","0,2","53,9","0,0",    1 ,"0,0"
São Felipe D'Oeste,  1 101 484 ,   5 258,   2 034,292,21,   2 909,2,0,"38,7","5,6","0,4","55,3","0,0",    2 ,"0,0"
São Francisco do Guaporé,  1 101 492 ,   16 286,   5 509,   1 311,23,   8 994,449,0,"33,8","8,0","0,1","55,2","2,8",    671 ,"4,1"
Seringueiras,  1 101 500 ,   11 171,   3 828,801,26,   6 460,56,0,"34,3","7,2","0,2","57,8","0,5",    79 ,"0,7"
Teixeirópolis,  1 101 559 ,   4 256,   1 367,392,8,   2 486,3,0,"32,1","9,2","0,2","58,4","0,1",    3 ,"0,1"
Theobroma,  1 101 609 ,   8 113,   2 441,674,15,   4 975,8,0,"30,1","8,3","0,2","61,3","0,1",    8 ,"0,1"
Urupá,  1 101 708 ,   10 725,   3 088,705,33,   6 888,11,0,"28,8","6,6","0,3","64,2","0,1",    11 ,"0,1"
Vale do Anari,  1 101 757 ,   7 788,   2 145,723,7,   4 902,11,0,"27,5","9,3","0,1","62,9","0,1",    11 ,"0,1"
Vale do Paraíso,  1 101 807 ,   6 479,   1 867,522,2,   4 085,3,0,"28,8","8,1","0,0","63,0","0,0",    7 ,"0,1"
Acrelândia,  1 200 013 ,   14 021,   3 477,   1 670,56,   8 788,30,0,"24,8","11,9","0,4","62,7","0,2",    30 ,"0,2"
Assis Brasil,  1 200 054 ,   8 100,   1 306,351,13,   5 234,   1 195,1,"16,1","4,3","0,2","64,6","14,8",   1 207 ,"14,9"
Brasiléia,  1 200 104 ,   26 000,   5 069,   1 662,35,   18 957,277,0,"19,5","6,4","0,1","72,9","1,1",    282 ,"1,1"
Bujari,  1 200 138 ,   12 917,   2 634,   1 903,50,   8 300,30,0,"20,4","14,7","0,4","64,3","0,2",    30 ,"0,2"
Capixaba,  1 200 179 ,   10 392,   1 433,   1 012,38,   7 902,7,0,"13,8","9,7","0,4","76,0","0,1",    7 ,"0,1"
Cruzeiro do Sul,  1 200 203 ,   91 888,   21 032,   7 159,122,   61 940,   1 632,3,"22,9","7,8","0,1","67,4","1,8",   1 678 ,"1,8"
